date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2010-01-04,113.33,113.39,111.51,112.37,118857369,85.2097930637326,85.2549054574839,83.8413837866128,84.4879947637134,118857369,0.0,1.0
2010-01-05,113.63,113.68,112.85,113.26,111519230,85.4353550324887,85.472948693948,84.848893913723,85.1571619376896,111519230,0.0,1.0
2010-01-06,113.71,113.99,113.43,113.52,116017127,85.4955048908236,85.7060293949959,85.2849803866513,85.3526489772781,116017127,0.0,1.0
2010-01-07,114.19,114.33,113.18,113.5,130502017,85.8564040408332,85.9616662929194,85.0970120793546,85.3376115126944,130502017,0.0,1.0
2010-01-08,114.57,114.62,113.66,113.89,126357911,86.1421158679242,86.1797095293835,85.4579112293643,85.6308420720772,126357911,0.0,1.0
2010-01-11,114.73,115.13,114.24,115.08,105905179,86.2624155845941,86.5631648762688,85.8939977022926,86.5255712148094,105905179,0.0,1.0
2010-01-12,113.66,114.21,113.22,113.97,166498092,85.4579112293643,85.871441505417,85.1270870085221,85.6909919304122,166498092,0.0,1.0
2010-01-13,114.62,114.94,113.37,113.95,161730350,86.1797095293835,86.4203089627233,85.2398679929001,85.6759544658284,161730350,0.0,1.0
2010-01-14,114.93,115.14,114.42,114.49,115646960,86.4127902304314,86.5706836085606,86.0293348835462,86.0819660095893,115646960,0.0,1.0
2010-01-15,113.64,114.84,113.2,114.73,212252769,85.4428737647805,86.3451216398046,85.1120495439384,86.2624155845941,212252769,0.0,1.0
2010-01-19,115.06,115.13,113.59,113.62,138671890,86.5105337502257,86.5631648762688,85.4052801033212,85.4278363001968,138671890,0.0,1.0
2010-01-20,113.89,114.45,112.98,114.28,216330645,85.6308420720772,86.0518910804218,84.9466374335173,85.92407263146,216330645,0.0,1.0
2010-01-21,111.7,114.27,111.56,113.92,344747028,83.9842397001583,85.9165538991682,83.8789774480721,85.6533982689528,344747028,0.0,1.0
2010-01-22,109.21,111.74,109.09,111.2,345627282,82.1120753594833,84.0143146293257,82.0218505719809,83.6083030855649,345627282,0.0,1.0
2010-01-25,109.77,110.41,109.41,110.21,186751367,82.5331243678279,83.0143232345074,82.2624500053206,82.86394858867,186751367,0.0,1.0
